Year;Value
1996;178000
1997;205000
1998;233750
1999;260075
2000;330000
2001;350000
2002;370000
2003;410000
2004;425000
2005;450000
2006;499999
2007;620000
2008;695000
2009;610000
2010;725000
2011;791400
